t	PopSize	m_Het	s2_Het	n_Het
185	100	8.235610e-03	3.232603e-03	5000
186	100	7.962450e-03	3.119582e-03	5000
187	100	7.724320e-03	3.038576e-03	5000
188	100	7.565820e-03	2.988986e-03	5000
189	100	7.510210e-03	2.980675e-03	5000
190	100	7.290640e-03	2.896251e-03	5000
191	100	7.182210e-03	2.848802e-03	5000
192	100	7.042450e-03	2.808431e-03	5000
193	100	6.948360e-03	2.762263e-03	5000
194	100	6.713270e-03	2.691740e-03	5000
195	100	6.413460e-03	2.511252e-03	5000
196	100	6.070520e-03	2.376691e-03	5000
197	100	5.809940e-03	2.284858e-03	5000
198	100	5.589670e-03	2.212594e-03	5000
199	100	5.584140e-03	2.262965e-03	5000
200	100	5.426690e-03	2.228343e-03	5000
201	100	5.502120e-03	2.267175e-03	5000
202	100	5.288400e-03	2.187929e-03	5000
203	100	5.226970e-03	2.170652e-03	5000
204	100	5.068640e-03	2.103695e-03	5000
205	100	4.905360e-03	2.031323e-03	5000
206	100	4.682510e-03	1.946047e-03	5000
207	100	4.516630e-03	1.859413e-03	5000
208	100	4.400210e-03	1.811609e-03	5000
209	100	4.313580e-03	1.768612e-03	5000
210	100	4.298330e-03	1.753143e-03	5000
211	100	4.300100e-03	1.783396e-03	5000
212	100	4.151060e-03	1.715956e-03	5000
213	100	4.067410e-03	1.706796e-03	5000
214	100	3.937580e-03	1.640713e-03	5000
215	100	3.668790e-03	1.479075e-03	5000
216	100	3.520080e-03	1.405650e-03	5000
217	100	3.313330e-03	1.279610e-03	5000
218	100	3.261080e-03	1.249783e-03	5000
219	100	3.129040e-03	1.208491e-03	5000
220	100	3.123740e-03	1.210186e-03	5000
221	100	2.972130e-03	1.133221e-03	5000
222	100	2.940580e-03	1.141955e-03	5000
223	100	2.891170e-03	1.116744e-03	5000
224	100	2.970740e-03	1.166988e-03	5000
225	100	2.998450e-03	1.180940e-03	5000
226	100	2.935820e-03	1.178622e-03	5000
227	100	2.766110e-03	1.086812e-03	5000
